,# feature,class,assembly,assembly_unit,seq_type,chromosome,genomic_accession,start,end,strand,product_accession,non-redundant_refseq,related_accession,name,symbol,GeneID,locus_tag,feature_interval_length,product_length,attributes
0,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,3,725,-,,,,hypothetical protein,,,SY84_00005,723,,pseudo
1,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,878,1573,+,,,,,,,SY84_00010,696,,
3,gene,tRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1690,1766,+,,,,,,,SY84_00015,77,,
5,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,1832,2536,+,,,,,,,SY84_00020,705,,
7,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,2735,3100,+,,,,,,,SY84_00025,366,,
9,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,3100,3825,+,,,,,,,SY84_00030,726,,
11,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,4031,5842,-,,,,,,,SY84_00035,1812,,
13,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,6057,7031,-,,,,,,,SY84_00040,975,,
15,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,7199,7501,+,,,,,,,SY84_00045,303,,
17,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,7632,8168,+,,,,,,,SY84_00050,537,,
19,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,8236,8973,+,,,,,,,SY84_00055,738,,
21,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,9192,11018,-,,,,,,,SY84_00060,1827,,
23,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,11015,12046,-,,,,,,,SY84_00065,1032,,
25,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,12149,12775,-,,,,,,,SY84_00070,627,,
27,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,13064,13984,+,,,,,,,SY84_00075,921,,
