# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	15	1394	+							DFI_00005	1380		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	15	1394	+	ASN81902.1			chromosomal replication initiator protein DnaA			DFI_00005	1380	459	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	1793	2881	+							DFI_00010	1089		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	1793	2881	+	ASN79600.1			DNA polymerase III subunit beta			DFI_00010	1089	362	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	3365	4636	+							DFI_00015	1272		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	3365	4636	+	ASN79601.1			phosphopyruvate hydratase			DFI_00015	1272	423	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	4725	6179	+							DFI_00020	1455		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	4725	6179	+	ASN79602.1			pyruvate kinase			DFI_00020	1455	484	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	6505	7761	-							DFI_00025	1257		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	6505	7761	-	ASN79603.1			tyrosine--tRNA ligase			DFI_00025	1257	418	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	7954	8910	+							DFI_00030	957		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	7954	8910	+	ASN79604.1			hypothetical protein			DFI_00030	957	318	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	8921	9490	+							DFI_00035	570		
CDS	with_protein	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	8921	9490	+	ASN79605.1			MOSC domain-containing protein			DFI_00035	570	189	
gene	protein_coding	GCA_003444775.1	Primary Assembly	chromosome		CP021081.1	9420	10187	+							DFI_00040	768		
